certified_status,count_critic_review,count_user_review,critic_score,movie_name,user_score
Rotten,87,"User Ratings: 942,232",52%,Austin Powers: The Spy Who Shagged Me,71%
Certified Fresh,188,"User Ratings: 660,421",87%,American Beauty,93%
Rotten,141,"User Ratings: 210,287",52%,The World Is Not Enough,49%
Certified Fresh,100,"User Ratings: 508,400",83%,Notting Hill,79%
Certified Fresh,105,"User Ratings: 370,214",89%,Tarzan,75%
Certified Fresh,150,"User Ratings: 33,324,202",87%,The Matrix,85%
Certified Fresh,168,"User Ratings: 1,000,259",100%,Toy Story 2,86%
Certified Fresh,156,"User Ratings: 1,036,551",86%,The Sixth Sense,90%
Rotten,30,"User Ratings: 7,624",27%,The Odd Couple II,57%
Rotten,38,"User Ratings: 45,284",34%,Disturbing Behavior,40%
Rotten,35,"User Ratings: 34,269",37%,The Replacement Killers,47%
Certified Fresh,103,"User Ratings: 186,097",89%,Rushmore,91%
Rotten,43,"User Ratings: 37,496",28%,Hard Rain,33%
DNE,N/A,Ratings: Not yet available,,Vampires,
Rotten,57,"User Ratings: 35,243",42%,Very Bad Things,58%
Certified Fresh,48,"User Ratings: 12,703",79%,Little Voice,74%
Certified Fresh,62,"User Ratings: 44,446",81%,He Got Game,83%
DNE,N/A,Ratings: Not yet available,,Beloved,
Rotten,16,"User Ratings: 29,478",31%,The Players Club,85%
DNE,N/A,User Ratings: 149,,Fallen (2017),98%
Rotten,60,"User Ratings: 82,763",42%,Can't Hardly Wait,63%
Certified Fresh,61,"User Ratings: 9,629",89%,One True Thing,71%
Rotten,33,"User Ratings: 39,260",9%,Species II,18%
Rotten,39,"User Ratings: 29,767",41%,The Big Hit,57%
Fresh,37,"User Ratings: 43,668",62%,Paulie,55%
Certified Fresh,83,"User Ratings: 153,453",76%,Dark City,85%
Rotten,56,"User Ratings: 41,040",54%,The Object of My Affection,51%
Certified Fresh,66,"User Ratings: 20,608",76%,Bulworth,68%
Rotten,55,"User Ratings: 362,834",11%,A Night at the Roxbury,69%
DNE,N/A,Ratings: Not yet available,,Mr. Nice Guy,
Rotten,56,"User Ratings: 53,635",20%,Mercury Rising,40%
DNE,N/A,Ratings: Not yet available,,Jack Frost,
Certified Fresh,96,"User Ratings: 239,913",95%,Psycho,95%
Rotten,49,"User Ratings: 31,335",49%,How Stella Got Her Groove Back,67%
Rotten,23,"User Ratings: 26,890",35%,Quest For Camelot,59%
Certified Fresh,79,"User Ratings: 19,951",81%,Primary Colors,64%
Rotten,56,"User Ratings: 371,346",7%,I Still Know What You Did Last Summer,29%
Rotten,51,"User Ratings: 186,750",53%,The Faculty,55%
Rotten,40,"User Ratings: 240,429",53%,Meet Joe Black,81%
Certified Fresh,101,"User Ratings: 355,949",82%,The Big Lebowski,94%
Certified Fresh,354,"User Ratings: 1,135,562",92%,Marvel's The Avengers,91%
DNE,N/A,Ratings: Not yet available,,Negotiator (Kôshônin),
Certified Fresh,95,"User Ratings: 230,895",85%,Pleasantville,79%
Rotten,52,"User Ratings: 58,525",12%,Sphere,38%
Rotten,37,"User Ratings: 364,226",46%,Bride of Chucky,46%
DNE,N/A,User Ratings: 41,,Borrowers,50%
Certified Fresh,60,"User Ratings: 28,819",83%,Waking Ned Devine,88%
DNE,N/A,Ratings: Not yet available,,Great Expectations,
Fresh,59,"User Ratings: 92,996",63%,Wild Things,53%
Rotten,63,"User Ratings: 169,232",35%,Spice World,45%
Fresh,70,"User Ratings: 21,463",61%,A Civil Action,55%
DNE,N/A,Ratings: Not yet available,,Man in the Iron Mask,
Fresh,51,"User Ratings: 62,410",63%,Sliding Doors,77%
Certified Fresh,65,"User Ratings: 452,160",91%,Ever After: A Cinderella Story,84%
DNE,N/A,Ratings: Not yet available,,The Perfect Murder,
Rotten,92,"User Ratings: 206,400",21%,Practical Magic,73%
Fresh,65,"User Ratings: 63,997",65%,Babe: Pig in the City,41%
Fresh,65,"User Ratings: 120,866",68%,Ronin,80%
Rotten,69,"User Ratings: 167,465",54%,What Dreams May Come,84%
Rotten,44,"User Ratings: 123,450",48%,Small Soldiers,44%
Rotten,56,"User Ratings: 164,300",21%,Urban Legend,37%
Rotten,34,"User Ratings: 61,064",26%,Hope Floats,72%
Fresh,12,"User Ratings: 1,411",75%,Mysteries of Egypt,60%
Fresh,20,User Ratings: 975,70%,T-Rex: Back to the Cretaceous,30%
Rotten,65,"User Ratings: 62,229",40%,Snake Eyes,35%
DNE,N/A,Ratings: Not yet available,,Siege,
Rotten,69,"User Ratings: 62,815",55%,Star Trek: Insurrection,44%
Fresh,63,"User Ratings: 746,231",68%,The Wedding Singer,80%
DNE,N/A,"User Ratings: 4,433",,Dao (The Blade),87%
Rotten,83,"User Ratings: 173,857",28%,Lost in Space,24%
Rotten,51,"User Ratings: 73,667",59%,The Rugrats Movie,50%
Certified Fresh,93,"User Ratings: 651,944",92%,Antz,52%
Rotten,89,"User Ratings: 271,886",45%,Stepmom,75%
Rotten,39,"User Ratings: 126,802",36%,"Six Days, Seven Nights",36%
Fresh,57,"User Ratings: 51,522",74%,The Horse Whisperer,72%
Rotten,75,"User Ratings: 910,748",35%,The Waterboy,71%
Rotten,60,"User Ratings: 345,570",58%,City of Angels,82%
Rotten,68,"User Ratings: 265,099",22%,Patch Adams,73%
Certified Fresh,88,"User Ratings: 200,460",80%,The Prince of Egypt,76%
Certified Fresh,71,"User Ratings: 375,257",82%,The Mask of Zorro,72%
Fresh,73,"User Ratings: 902,223",60%,Rush Hour,78%
Fresh,85,"User Ratings: 372,983",72%,Enemy of the State,78%
Fresh,87,"User Ratings: 462,388",69%,You've Got Mail,73%
Certified Fresh,126,"User Ratings: 583,364",94%,The Truman Show,89%
Certified Fresh,139,"User Ratings: 226,940",92%,Shakespeare in Love,80%
Rotten,68,"User Ratings: 254,591",53%,Lethal Weapon 4,64%
Rotten,20,"User Ratings: 73,392",30%,Doctor Dolittle,57%
Certified Fresh,77,"User Ratings: 611,504",86%,Mulan,85%
Rotten,86,"User Ratings: 340,738",45%,Deep Impact,43%
Certified Fresh,87,"User Ratings: 982,384",92%,A Bug's Life,73%
Certified Fresh,83,"User Ratings: 33,121,539",83%,There's Something About Mary,61%
Rotten,77,"User Ratings: 302,887",16%,Godzilla,28%
Certified Fresh,140,"User Ratings: 992,970",93%,Saving Private Ryan,95%
Rotten,122,"User Ratings: 909,567",38%,Armageddon,73%
Rotten,23,"User Ratings: 41,501",57%,Jackie Chan's First Strike,56%
Rotten,36,"User Ratings: 54,745",39%,A Life Less Ordinary,59%
Rotten,13,"User Ratings: 9,860",23%,The Sixth Man,58%
Certified Fresh,55,"User Ratings: 8,293",82%,Eve's Bayou,90%
