certified_status,count_critic_review,count_user_review,critic_score,movie_name,user_score
Rotten,38,"User Ratings: 60,832",53%,The 'Burbs,71%
Certified Fresh,47,"User Ratings: 32,587",96%,"Sex, Lies, and Videotape",79%
Rotten,33,"User Ratings: 58,939",15%,"The Karate Kid, Part III",35%
Certified Fresh,47,"User Ratings: 376,131",79%,Bill and Ted's Excellent Adventure,75%
Rotten,14,"User Ratings: 8,400",14%,Three Fugitives,50%
Rotten,29,"User Ratings: 47,891",28%,"See No Evil, Hear No Evil",72%
Certified Fresh,40,"User Ratings: 91,158",83%,Major League,84%
DNE,N/A,"User Ratings: 1,149",,Hacia el Límite,28%
Certified Fresh,45,"User Ratings: 109,961",89%,The Abyss,83%
Rotten,34,"User Ratings: 97,767",50%,Pet Sematary,59%
Fresh,28,"User Ratings: 15,713",79%,Sea of Love,66%
Rotten,46,"User Ratings: 60,066",30%,Tango & Cash,52%
Certified Fresh,58,"User Ratings: 192,863",86%,Field of Dreams,86%
Fresh,23,"User Ratings: 199,906",61%,Uncle Buck,76%
Certified Fresh,45,"User Ratings: 59,326",87%,Born on the Fourth of July,76%
Fresh,178,"User Ratings: 2,510",69%,Cold Pursuit,50%
Fresh,197,"User Ratings: 2,800",70%,Happy Death Day 2U,58%
Certified Fresh,309,"Verified Ratings: 7,882",77%,Doctor Sleep,89%
Rotten,34,User Ratings: 717,12%,Tyler Perry's A Madea Family Funeral,30%
DNE,N/A,Ratings: Not yet available,,Cats,
Certified Fresh,396,"Verified Ratings: 6,535",79%,Jojo Rabbit,94%
Fresh,8,User Ratings: 178,63%,Crawl,20%
Rotten,164,"Verified Ratings: 8,118",27%,Rambo: Last Blood,82%
Rotten,117,User Ratings: 824,54%,Five Feet Apart,79%
Certified Fresh,222,"Verified Ratings: 8,238",78%,Scary Stories to Tell in the Dark,72%
DNE,N/A,User Ratings: 199,,Hustle,19%
DNE,N/A,Ratings: Not yet available,,Good Boys (Yeladim Tovim),
DNE,N/A,User Ratings: 39,,I Galantuomini,50%
Rotten,104,User Ratings: 653,34%,Wonder Park,44%
Certified Fresh,148,"Verified Ratings: 6,715",84%,Dora and the Lost City of Gold,88%
DNE,N/A,Ratings: Not yet available,,Last Christmas,
Fresh,234,"Verified Ratings: 11,196",68%,Zombieland: Double Tap,88%
Certified Fresh,365,"Verified Ratings: 10,262",84%,Ad Astra,40%
Rotten,15,"User Ratings: 7,166",47%,Midway,71%
Rotten,178,"Verified Ratings: 14,666",39%,Angel Has Fallen,93%
Rotten,16,"User Ratings: 1,479",13%,Hustlers,35%
DNE,N/A,Ratings: Not yet available,,Yesterday (Vchera),
DNE,N/A,User Ratings: 204,,Escape Room,24%
Certified Fresh,117,"Verified Ratings: 8,316",75%,Spies in Disguise,92%
Certified Fresh,161,"Verified Ratings: 7,928",81%,Abominable,95%
DNE,N/A,Ratings: Not yet available,,Rocketman,
Certified Fresh,242,"Verified Ratings: 20,269",84%,Downton Abbey,94%
Certified Fresh,323,"Verified Ratings: 24,141",92%,Ford v Ferrari,98%
Fresh,200,"Verified Ratings: 9,405",65%,Annabelle Comes Home,70%
Rotten,357,"Verified Ratings: 15,449",23%,Dark Phoenix,64%
Fresh,324,"Verified Ratings: 12,999",70%,Terminator: Dark Fate,82%
Rotten,304,"Verified Ratings: 11,493",23%,Men in Black International,66%
Certified Fresh,431,"Verified Ratings: 33,820",97%,Knives Out,92%
Certified Fresh,331,"User Ratings: 38,207",90%,John Wick: Chapter 3 - Parabellum,86%
Certified Fresh,41,"User Ratings: 432,214",98%,Dumbo,70%
Certified Fresh,392,"User Ratings: 16,545",90%,Shazam!,82%
Certified Fresh,530,"Verified Ratings: 26,401",85%,Once Upon a Time In Hollywood,70%
Fresh,24,"User Ratings: 9,395",83%,"Godzilla, King of the Monsters!",73%
Fresh,313,"User Ratings: 33,393",61%,Alita: Battle Angel,92%
Fresh,294,"User Ratings: 16,335",69%,Pokémon Detective Pikachu,79%
Fresh,355,"Verified Ratings: 30,947",63%,It Chapter Two,78%
Rotten,250,"Verified Ratings: 19,127",40%,Maleficent: Mistress of Evil,95%
Certified Fresh,255,"User Ratings: 56,158",91%,How to Train Your Dragon: The Hidden World,86%
Fresh,331,"Verified Ratings: 27,687",67%,Fast & Furious Presents: Hobbs & Shaw,88%
Fresh,232,"Verified Ratings: 35,725",71%,Jumanji: The Next Level,87%
Certified Fresh,429,"Verified Ratings: 53,145",97%,Toy Story 4,94%
Rotten,483,"Verified Ratings: 98,218",52%,Star Wars: The Rise of Skywalker,86%
DNE,N/A,User Ratings: 30,,Joker,33%
Certified Fresh,427,"Verified Ratings: 69,223",91%,Spider-Man: Far From Home,95%
Certified Fresh,504,"User Ratings: 94,873",78%,Captain Marvel,48%
Certified Fresh,315,"Verified Ratings: 48,796",77%,Frozen II,92%
Certified Fresh,505,"User Ratings: 69,038",94%,Avengers: Endgame,90%
Fresh,278,"User Ratings: 4,865",62%,Sicario: Day of the Soldado,64%
DNE,N/A,Ratings: Not yet available,,Searching,
Rotten,132,"User Ratings: 4,246",41%,Den of Thieves,62%
Certified Fresh,359,"User Ratings: 12,414",89%,Hereditary,66%
Rotten,182,"User Ratings: 3,904",26%,Mortal Engines,49%
DNE,N/A,Ratings: Not yet available,,I Can Only Imagine,
Rotten,64,"User Ratings: 1,606",27%,Sherlock Gnomes,35%
Rotten,179,"User Ratings: 2,015",54%,Book Club,52%
Rotten,219,"User Ratings: 4,598",36%,I Feel Pretty,35%
Rotten,94,"User Ratings: 1,292",48%,Goosebumps 2: Haunted Halloween,39%
Certified Fresh,418,"User Ratings: 10,780",96%,BlacKkKlansman,82%
Certified Fresh,220,"User Ratings: 5,044",84%,Blockers,50%
DNE,N/A,"User Ratings: 1,524",,Truth or Dare?: A Critical Madness,57%
DNE,N/A,Ratings: Not yet available,,Alpha,
DNE,N/A,User Ratings: 172,,Night School (Terror Eyes),28%
Certified Fresh,428,"User Ratings: 8,572",86%,First Man,67%
Certified Fresh,246,"User Ratings: 9,486",85%,Game Night,77%
Certified Fresh,145,"User Ratings: 3,349",81%,Instant Family,82%
DNE,N/A,"User Ratings: 7,535",,A Wrinkle in Time,40%
Rotten,287,"User Ratings: 7,975",45%,Red Sparrow,49%
Rotten,106,"User Ratings: 1,849",37%,Johnny English Strikes Again,49%
Certified Fresh,48,"User Ratings: 388,947",81%,Predator,87%
Rotten,106,"User Ratings: 5,792",33%,Insidious: The Last Key,51%
Rotten,196,"User Ratings: 4,773",52%,Equalizer 2,61%
Fresh,265,"User Ratings: 5,640",73%,Christopher Robin,83%
Certified Fresh,292,"User Ratings: 5,472",84%,Creed II,80%
Certified Fresh,122,"User Ratings: 2,128",76%,Smallfoot,62%
Certified Fresh,343,"User Ratings: 12,520",91%,Crazy Rich Asians,76%
Rotten,169,"User Ratings: 17,035",43%,Maze Runner: The Death Cure,58%
Rotten,253,"User Ratings: 32,350",44%,Pacific Rim Uprising,38%
Fresh,347,"User Ratings: 10,129",69%,Ocean's 8,45%
DNE,N/A,Ratings: Not yet available,,Skyscraper,
Certified Fresh,342,"User Ratings: 9,770",78%,Green Book,91%
Certified Fresh,357,"User Ratings: 7,214",79%,Mary Poppins Returns,65%
Fresh,20,User Ratings: 448,85%,La religieuse (The Nun),82%
Rotten,183,"User Ratings: 5,686",12%,Fifty Shades Freed,37%
Fresh,464,"User Ratings: 43,524",70%,Solo: A Star Wars Story,63%
Certified Fresh,267,"User Ratings: 5,165",80%,Mamma Mia! Here We Go Again,66%
DNE,N/A,Ratings: Not yet available,,Rampage,
Certified Fresh,237,"User Ratings: 9,662",91%,Bumblebee,74%
Fresh,115,"User Ratings: 3,409",62%,Hotel Transylvania 3: Summer Vacation,48%
Certified Fresh,266,"User Ratings: 8,478",88%,Ralph Breaks the Internet,65%
Certified Fresh,420,"User Ratings: 24,930",72%,Ready Player One,77%
Certified Fresh,417,"User Ratings: 24,345",88%,Ant-Man and the Wasp,76%
Rotten,314,"User Ratings: 14,852",36%,Fantastic Beasts: The Crimes of Grindelwald,54%
Certified Fresh,402,"User Ratings: 31,470",84%,Deadpool 2,85%
Certified Fresh,416,"User Ratings: 15,770",97%,Mission: Impossible - Fallout,87%
DNE,N/A,Ratings: Not yet available,,Venom,
Fresh,392,"User Ratings: 22,932",60%,Bohemian Rhapsody,85%
Fresh,385,"User Ratings: 34,629",65%,Aquaman,74%
Certified Fresh,370,"User Ratings: 18,146",94%,Incredibles 2,84%
Rotten,413,"User Ratings: 29,694",48%,Jurassic World: Fallen Kingdom,48%
DNE,N/A,User Ratings: 35,,Black Panther,48%
Certified Fresh,456,"User Ratings: 58,081",85%,Avengers: Infinity War,91%
DNE,N/A,"User Ratings: 7,553",,My Little Pony,73%
Rotten,119,"User Ratings: 9,506",45%,"Everything, Everything",62%
Rotten,30,"User Ratings: 7,069",40%,How to Be a Latin Lover,61%
Rotten,155,"User Ratings: 12,386",54%,47 Meters Down,35%
DNE,N/A,Ratings: Not yet available,,Star,
Fresh,193,"User Ratings: 9,527",66%,Victoria & Abdul,68%
DNE,N/A,Ratings: Not yet available,,American Assassin,
Fresh,11,User Ratings: 545,73%,Tiger Zinda Hai,65%
Fresh,11,"User Ratings: 1,362",82%,Going in Style,73%
Certified Fresh,385,"User Ratings: 22,144",99%,Lady Bird,79%
DNE,N/A,Ratings: Not yet available,,Once Upon a Time,
DNE,N/A,"User Ratings: 1,690",,Rings,60%
DNE,N/A,Ratings: Not yet available,,WuKong,
Fresh,8,User Ratings: 608,63%,Along With the Gods: The Two Worlds,83%
DNE,N/A,User Ratings: 156,,Buddies in India,25%
DNE,N/A,User Ratings: 99,,Dark Tower,7%
Fresh,149,"User Ratings: 16,323",71%,Happy Death Day,66%
Certified Fresh,132,"User Ratings: 21,226",88%,Captain Underpants: The First Epic Movie (Captain Underpants),61%
Fresh,10,User Ratings: 562,90%,Secret Superstar,87%
Rotten,264,"User Ratings: 31,786",30%,King Arthur: Legend Of The Sword,69%
Certified Fresh,165,"User Ratings: 23,109",91%,Girls Trip,78%
Certified Fresh,395,"User Ratings: 22,647",90%,"Three Billboards Outside Ebbing, Missouri",87%
Certified Fresh,53,"User Ratings: 88,307",96%,Ghost in the Shell,89%
Certified Fresh,268,"User Ratings: 56,397",89%,John Wick: Chapter 2,85%
Rotten,126,"User Ratings: 15,025",21%,Daddy's Home 2,50%
Rotten,237,"User Ratings: 30,509",17%,Baywatch,55%
DNE,N/A,Ratings: Not yet available,,Post!,
Rotten,142,"User Ratings: 16,868",30%,Pitch Perfect 3,44%
Certified Fresh,238,"User Ratings: 8,064",100%,Paddington 2,88%
Rotten,96,"User Ratings: 48,354",40%,Smurfs: The Lost Village,54%
Rotten,285,"User Ratings: 27,720",47%,Valerian and the City of a Thousand Planets,53%
Rotten,88,"User Ratings: 17,619",16%,Geostorm,36%
Certified Fresh,373,"User Ratings: 62,850",93%,Baby Driver,86%
Fresh,392,"User Ratings: 63,820",66%,Alien: Covenant,55%
Certified Fresh,373,"User Ratings: 74,816",98%,Get Out,86%
Certified Fresh,426,"User Ratings: 59,792",87%,Blade Runner 2049,81%
Fresh,20,"User Ratings: 2,618",90%,Baahubali 2: The Conclusion,87%
DNE,N/A,User Ratings: 90,,Split,51%
Fresh,119,"User Ratings: 6,930",71%,Ferdinand,50%
Certified Fresh,186,"User Ratings: 18,810",85%,Wonder,88%
Fresh,185,"User Ratings: 21,875",71%,Annabelle: Creation,67%
Rotten,141,"User Ratings: 25,217",45%,xXx: Return of Xander Cage,37%
Fresh,35,"User Ratings: 20,826",89%,Murder on the Orient Express,79%
Rotten,196,"User Ratings: 27,539",12%,Fifty Shades Darker,48%
Fresh,227,"User Ratings: 27,248",70%,Cars 3,69%
Rotten,298,"User Ratings: 45,498",52%,Kingsman: The Golden Circle,64%
Certified Fresh,347,"User Ratings: 56,827",94%,War for the Planet of the Apes,84%
DNE,N/A,User Ratings: 424,,Dunkirk,72%
Rotten,178,"User Ratings: 29,673",52%,The Boss Baby,51%
Certified Fresh,377,"User Ratings: 54,175",75%,Kong: Skull Island,69%
Rotten,248,"User Ratings: 39,744",15%,Transformers: The Last Knight,44%
Rotten,282,"User Ratings: 130,615",30%,Pirates of the Caribbean: Dead Men Tell No Tales,61%
DNE,N/A,User Ratings: 477,,Coco,15%
Fresh,11,"User Ratings: 8,553",82%,Wonder Woman,78%
Certified Fresh,410,"User Ratings: 94,197",93%,Thor: Ragnarok,87%
Certified Fresh,403,"User Ratings: 108,565",85%,Guardians of the Galaxy Vol. 2,87%
Certified Fresh,384,"User Ratings: 107,679",92%,Spider-Man: Homecoming,87%
Certified Fresh,229,"User Ratings: 39,203",76%,Jumanji: Welcome to the Jungle,87%
Rotten,190,"User Ratings: 78,573",58%,Despicable Me 3,53%
Rotten,168,"User Ratings: 28,107",37%,Mike and Dave Need Wedding Dates,51%
Certified Fresh,217,"User Ratings: 35,404",97%,Kubo and the Two Strings,86%
Certified Fresh,339,"User Ratings: 50,057",96%,Manchester by the Sea,78%
DNE,N/A,Ratings: Not yet available,,Boss,
Certified Fresh,120,"User Ratings: 14,848",83%,Ouija: Origin of Evil,57%
Rotten,180,"User Ratings: 22,226",14%,Collateral Beauty,64%
DNE,N/A,Ratings: Not yet available,,War Dogs,
Rotten,173,"User Ratings: 6,535",28%,My Big Fat Greek Wedding 2,53%
Rotten,274,"User Ratings: 23,620",59%,Money Monster,51%
Rotten,156,"User Ratings: 27,986",47%,How To Be Single,47%
Rotten,34,User Ratings: 444,38%,Railroad Tigers,46%
Rotten,9,User Ratings: 508,56%,Cold War 2,57%
Rotten,133,"User Ratings: 30,254",11%,Dirty Grandpa,44%
Certified Fresh,306,"User Ratings: 60,776",90%,10 Cloverfield Lane,79%
Fresh,200,"User Ratings: 51,597",63%,Neighbors 2: Sorority Rising,44%
Rotten,182,"User Ratings: 21,836",41%,Office Christmas Party,40%
Rotten,153,"User Ratings: 22,294",39%,Why Him?,51%
Fresh,248,"User Ratings: 25,228",60%,Allied,63%
Certified Fresh,253,"User Ratings: 46,068",83%,Deepwater Horizon,82%
Rotten,118,"User Ratings: 35,027",14%,Ride Along 2,48%
Rotten,57,"User Ratings: 25,608",32%,Mechanic: Resurrection,40%
Rotten,32,"User Ratings: 2,618",38%,Skiptrace,27%
Rotten,26,"User Ratings: 59,249",54%,Pete's Dragon,60%
Rotten,187,"User Ratings: 31,772",16%,Gods Of Egypt,37%
Certified Fresh,230,"User Ratings: 64,764",83%,Sausage Party,50%
DNE,N/A,Ratings: Not yet available,,Lights Out,
DNE,N/A,Ratings: Not yet available,,The Accountant,
DNE,N/A,User Ratings: 22,,Don't Breathe,83%
Rotten,234,"User Ratings: 31,712",37%,Jack Reacher: Never Go Back,42%
DNE,N/A,User Ratings: 54,,Magnificent Seven,80%
Certified Fresh,268,"User Ratings: 55,406",85%,Hacksaw Ridge,91%
Certified Fresh,62,"User Ratings: 1,863",76%,The Girl on the Train (La Fille du RER),42%
Fresh,9,User Ratings: 774,78%,Operation Mekong,59%
Rotten,166,"User Ratings: 41,044",58%,Bad Moms,63%
Fresh,136,"User Ratings: 24,828",66%,Storks,62%
Rotten,195,"User Ratings: 36,888",27%,London Has Fallen,51%
DNE,N/A,Ratings: Not yet available,,The Arrival,
Certified Fresh,207,"User Ratings: 19,955",78%,Bridget Jones's Baby,65%
Rotten,174,"User Ratings: 30,611",56%,Me Before You,73%
Fresh,186,"User Ratings: 54,300",71%,Central Intelligence,61%
Certified Fresh,72,"User Ratings: 1,039,377",97%,Ghostbusters (1984 Original),88%
Certified Fresh,310,"User Ratings: 58,353",93%,Hidden Figures,93%
Certified Fresh,337,"User Ratings: 48,452",85%,Sully,84%
Rotten,216,"User Ratings: 57,361",18%,Assassin's Creed,43%
Rotten,170,"User Ratings: 53,597",37%,Teenage Mutant Ninja Turtles: Out of the Shadows,47%
DNE,N/A,"User Ratings: 7,468",,Alice Through the Looking Glass,50%
Fresh,245,"User Ratings: 38,824",64%,Miss Peregrine's Home for Peculiar Children,60%
DNE,N/A,Ratings: Not yet available,,Passengers,
Rotten,100,"User Ratings: 59,462",37%,Resident Evil: The Final Chapter,48%
Rotten,191,"User Ratings: 66,992",34%,Now You See Me 2,53%
Fresh,7,User Ratings: 84,71%,A Great Wall,60%
Certified Fresh,302,"User Ratings: 74,429",86%,Star Trek Beyond,80%
Certified Fresh,161,"User Ratings: 38,914",76%,Trolls,67%
Rotten,221,"User Ratings: 75,012",29%,Independence Day: Resurgence,30%
Rotten,118,"User Ratings: 33,014",18%,Ice Age: Collision Course,39%
Rotten,317,"User Ratings: 56,812",54%,Jason Bourne,55%
Rotten,229,"User Ratings: 31,530",28%,Warcraft,76%
Certified Fresh,445,"User Ratings: 70,959",91%,La La Land,81%
Certified Fresh,175,"User Ratings: 99,857",87%,Kung Fu Panda 3,78%
Rotten,337,"User Ratings: 127,591",47%,X-Men: Apocalypse,65%
Fresh,37,"User Ratings: 4,024",95%,The Mermaid (Mei ren yu),60%
Fresh,13,User Ratings: 75,85%,Moana,69%
DNE,N/A,User Ratings: 65,,Suicide Squad,50%
Certified Fresh,338,"User Ratings: 187,209",85%,Deadpool,90%
Certified Fresh,333,"User Ratings: 87,779",74%,Fantastic Beasts and Where to Find Them,79%
Rotten,415,"User Ratings: 234,311",28%,Batman v Superman: Dawn of Justice,62%
Certified Fresh,283,"User Ratings: 101,264",98%,Zootopia,92%
Certified Fresh,326,"User Ratings: 181,838",94%,Finding Dory,84%
Certified Fresh,438,"User Ratings: 104,183",84%,Rogue One: A Star Wars Story,86%
Certified Fresh,406,"User Ratings: 179,769",91%,Captain America: Civil War,89%
Rotten,163,"User Ratings: 38,848",55%,The Age of Adaline,67%
Rotten,101,"User Ratings: 14,139",16%,The Transporter Refueled,30%
Fresh,22,"User Ratings: 2,626",95%,The War Room,83%
Fresh,271,"User Ratings: 35,348",72%,Crimson Peak,55%
Rotten,77,"User Ratings: 25,250",14%,Paranormal Activity: The Ghost Dimension,27%
DNE,N/A,Ratings: Not yet available,,Our Times,
Rotten,127,"User Ratings: 39,446",9%,Hitman: Agent 47,40%
DNE,N/A,User Ratings: 86,,Sicario,92%
Rotten,138,"User Ratings: 32,993",57%,Paper Towns,47%
Rotten,236,"User Ratings: 40,489",43%,In the Heart of the Sea,53%
Fresh,13,User Ratings: 67,69%,Southpaw,82%
Certified Fresh,61,"User Ratings: 182,261",85%,Poltergeist,78%
Fresh,32,"User Ratings: 1,246",72%,The Visit,42%
DNE,N/A,Ratings: Not yet available,,Joy,
DNE,N/A,Ratings: Not yet available,,Vacation,
Rotten,223,"User Ratings: 49,727",32%,Chappie,56%
Rotten,182,"User Ratings: 53,285",28%,Get Hard,45%
Rotten,60,"User Ratings: 37,493",5%,Paul Blart: Mall Cop 2,34%
Rotten,124,"User Ratings: 32,466",59%,Insidious: Chapter 3,51%
Fresh,14,"User Ratings: 2,015",93%,Bajrangi Bhaijaan,86%
Rotten,46,"User Ratings: 3,130",37%,Dragon Blade (Tian jiang xiong shi),39%
Fresh,233,"User Ratings: 34,991",65%,Magic Mike XXL,55%
DNE,N/A,Ratings: Not yet available,,Fack Ju Gohte 2,
Certified Fresh,280,"User Ratings: 69,270",85%,Trainwreck,66%
Certified Fresh,300,"User Ratings: 65,367",91%,Bridge of Spies,87%
Rotten,81,"User Ratings: 1,942",56%,Focus,62%
DNE,N/A,User Ratings: 167,,Jian Bing Man,54%
Certified Fresh,302,"User Ratings: 75,938",95%,Creed,89%
Rotten,264,"User Ratings: 95,243",27%,Jupiter Ascending,38%
Rotten,8,User Ratings: 817,38%,Intern,28%
Certified Fresh,241,"User Ratings: 75,793",88%,Straight Outta Compton,91%
Rotten,203,"User Ratings: 65,234",45%,Ted 2,50%
DNE,N/A,Ratings: Not yet available,,Filyor (The Spy),
DNE,N/A,Ratings: Not yet available,,Daddy's Home,
Rotten,197,"User Ratings: 69,944",16%,Pixels,46%
Rotten,67,"User Ratings: 36,788",15%,Alvin and the Chipmunks: The Road Chip,51%
Fresh,211,"User Ratings: 79,468",66%,Pitch Perfect 2,64%
Rotten,147,"User Ratings: 62,184",46%,Maze Runner: The Scorch Trials,54%
Certified Fresh,103,"User Ratings: 51,893",81%,The SpongeBob Movie: Sponge Out of Water,54%
Rotten,119,"User Ratings: 68,031",13%,Taken 3,44%
Certified Fresh,413,"User Ratings: 127,930",97%,Mad Max: Fury Road,85%
Certified Fresh,254,"User Ratings: 125,379",74%,Kingsman: The Secret Service,84%
Rotten,261,"User Ratings: 82,360",27%,Terminator Genisys,53%
Rotten,241,"User Ratings: 66,026",50%,San Andreas,52%
Rotten,108,"User Ratings: 89,775",56%,Hotel Transylvania 2,64%
Certified Fresh,322,"User Ratings: 166,612",83%,Ant-Man,86%
DNE,N/A,User Ratings: 157,,Revenant (An American Ghost Story),19%
Fresh,33,"User Ratings: 862,132",97%,Cinderella,80%
Rotten,278,"User Ratings: 83,675",25%,Fifty Shades of Grey,41%
Fresh,282,"User Ratings: 201,183",70%,The Hunger Games: Mockingjay - Part 2,66%
Certified Fresh,316,"User Ratings: 93,041",93%,Mission: Impossible Rogue Nation,87%
DNE,N/A,User Ratings: 391,,Inside Out,37%
DNE,N/A,User Ratings: 116,,House of the Damned,50%
Rotten,219,"User Ratings: 136,837",55%,Minions,49%
Certified Fresh,360,"User Ratings: 288,353",75%,Avengers: Age of Ultron,83%
Certified Fresh,267,"User Ratings: 194,915",81%,Furious 7,82%
Fresh,340,"User Ratings: 225,526",71%,Jurassic World,78%
Rotten,95,"User Ratings: 26,292",25%,Brick Mansions,47%
Rotten,104,"User Ratings: 58,331",5%,"I, Frankenstein",38%
Certified Fresh,213,"User Ratings: 83,196",86%,John Wick,81%
Rotten,52,"User Ratings: 33,049",42%,Step Up: All In,57%
DNE,N/A,User Ratings: 444,,Ocho apellidos vascos,54%
Rotten,138,"User Ratings: 48,856",36%,If I Stay,61%
Certified Fresh,196,"User Ratings: 65,021",80%,Muppets Most Wanted,58%
Certified Fresh,72,"User Ratings: 19,395",100%,Deliver Us from Evil,89%
Rotten,82,"User Ratings: 35,433",39%,Paranormal Activity: The Marked Ones,34%
Rotten,181,"User Ratings: 57,557",24%,Tammy,36%
Fresh,9,"User Ratings: 1,416",89%,The Book of Life,71%
Rotten,88,"User Ratings: 59,729",50%,Heaven Is for Real,66%
Fresh,116,"User Ratings: 37,640",61%,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",58%
DNE,N/A,Ratings: Not yet available,,BirdMan,
DNE,N/A,User Ratings: 185,,Ouija (Seance),43%
Rotten,156,"User Ratings: 58,615",34%,Horrible Bosses 2,47%
Rotten,117,"User Ratings: 53,606",11%,Seventh Son,34%
DNE,N/A,User Ratings: 782,,Serial (Bad) Weddings,61%
DNE,N/A,Ratings: Not yet available,,Theory of Everything,
Rotten,153,"User Ratings: 51,849",16%,Sex Tape,33%
Rotten,136,"User Ratings: 53,275",14%,Blended,64%
Rotten,181,"User Ratings: 64,739",55%,Jack Ryan: Shadow Recruit,53%
Fresh,6,User Ratings: 899,83%,The Admiral: Roaring Currents,79%
Rotten,81,"User Ratings: 62,196",19%,Let's Be Cops,51%
Rotten,28,"User Ratings: 365,831",57%,Annie,69%
DNE,N/A,User Ratings: 730,,Into the Storm,63%
Rotten,132,"User Ratings: 99,068",18%,Ride Along,58%
Rotten,93,"User Ratings: 22,125",44%,Planes: Fire And Rescue,56%
Rotten,148,"User Ratings: 65,687",30%,Dumb and Dumber To,35%
Rotten,249,"User Ratings: 72,927",31%,The Monuments Men,44%
Rotten,228,"User Ratings: 53,313",50%,Unbroken,70%
Rotten,182,"User Ratings: 59,501",23%,Need For Speed,57%
DNE,N/A,Ratings: Not yet available,,The Other Woman,
DNE,N/A,Ratings: Not yet available,,Fury,
Rotten,134,"User Ratings: 49,547",24%,Dracula Untold,58%
Rotten,7,User Ratings: 82,57%,Dangan Ranna (D.A.N.G.A.N. Runner) (Non-Stop),75%
Rotten,215,"User Ratings: 127,121",48%,RoboCop,49%
Rotten,130,"User Ratings: 49,412",29%,Annabelle,36%
Rotten,204,"User Ratings: 60,011",30%,Exodus: Gods and Kings,35%
Certified Fresh,135,"User Ratings: 73,249",81%,Mr. Peabody & Sherman,73%
Rotten,229,"User Ratings: 139,779",42%,Divergent,69%
Rotten,193,"User Ratings: 140,459",45%,300: Rise of an Empire,51%
Certified Fresh,218,"User Ratings: 170,384",84%,22 Jump Street,77%
Certified Fresh,258,"User Ratings: 122,183",76%,Noah,41%
Rotten,112,"User Ratings: 100,891",47%,Night at the Museum: Secret of the Tomb,57%
Fresh,113,"User Ratings: 65,265",73%,Penguins Of Madagascar,63%
Certified Fresh,353,"User Ratings: 128,063",87%,Gone Girl,87%
Certified Fresh,314,"User Ratings: 147,508",90%,Live Die Repeat: Edge of Tomorrow,90%
DNE,N/A,User Ratings: 210,,Lucy,17%
Rotten,115,"User Ratings: 105,643",48%,Rio 2,58%
Certified Fresh,293,"User Ratings: 153,308",72%,American Sniper,84%
Certified Fresh,182,"User Ratings: 188,466",91%,How to Train Your Dragon 2,90%
Certified Fresh,224,"User Ratings: 129,354",89%,Big Hero 6,91%
Certified Fresh,355,"User Ratings: 175,183",72%,Interstellar,85%
Certified Fresh,308,"User Ratings: 204,475",91%,Dawn Of The Planet Of The Apes,88%
Certified Fresh,295,"User Ratings: 281,978",90%,Captain America: The Winter Soldier,92%
Certified Fresh,321,"User Ratings: 276,917",90%,X-Men: Days of Future Past,91%
Rotten,267,"User Ratings: 176,192",54%,Maleficent,70%
Fresh,293,"User Ratings: 246,836",69%,The Hunger Games: Mockingjay - Part 1,71%
Certified Fresh,323,"User Ratings: 255,239",91%,Guardians of the Galaxy,92%
Rotten,206,"User Ratings: 223,954",18%,Transformers: Age of Extinction,50%
DNE,N/A,Ratings: Not yet available,,Sole a Catinelle,
Rotten,140,"User Ratings: 36,036",31%,Grudge Match,46%
Rotten,145,"User Ratings: 58,106",39%,Delivery Man,47%
Fresh,94,"User Ratings: 52,744",71%,The Best Man Holiday,83%
DNE,N/A,Ratings: Not yet available,,Escape from Planet Earth,
Rotten,51,"User Ratings: 236,179",4%,Scary Movie 5,38%
DNE,N/A,Ratings: Not yet available,,Fack ju Göhte,
Rotten,102,"User Ratings: 82,336",13%,R.I.P.D.,38%
Rotten,199,"User Ratings: 85,460",50%,Pain & Gain,47%
Rotten,182,"User Ratings: 82,121",50%,Carrie,44%
Certified Fresh,246,"User Ratings: 59,111",94%,Snowpiercer,72%
Fresh,157,"User Ratings: 57,748",68%,About Time,81%
DNE,N/A,Ratings: Not yet available,,Purge (Puhdistus),
Rotten,144,"User Ratings: 76,023",13%,Safe Haven,67%
Rotten,168,"User Ratings: 97,296",57%,Riddick,56%
DNE,N/A,User Ratings: 488,,Young Detective Dee: Rise of the Sea Dragon,53%
DNE,N/A,Ratings: Not yet available,,Rush,
Certified Fresh,197,"User Ratings: 52,369",90%,Philomena,89%
DNE,N/A,User Ratings: 96,,So Young (Zhi wo men zhong jiang shi qu de qing chun),61%
Rotten,21,"User Ratings: 26,400",57%,No se aceptan devoluciones (Instructions Not Included),89%
Certified Fresh,223,"User Ratings: 49,042",91%,Blue Jasmine,77%
Rotten,110,"User Ratings: 58,695",50%,Escape Plan,55%
DNE,N/A,Ratings: Not yet available,,Free Birds (Plumíferos - Aventuras voladoras),
Rotten,146,"User Ratings: 54,002",46%,Last Vegas,59%
DNE,N/A,Ratings: Not yet available,,Prisoners,
Certified Fresh,256,"User Ratings: 111,482",79%,Saving Mr. Banks,84%
Certified Fresh,203,"User Ratings: 131,522",81%,Warm Bodies,73%
DNE,N/A,User Ratings: 308,,Personal Tailor,53%
Certified Fresh,178,"User Ratings: 22,863",88%,The Wind Rises,85%
